# Valdivia, Chile Enero-Diciembre Precipitación Acumulada Promedio
# Unidades: milimetros
# Datos Faltantes: -99
Fecha,Valor
195012,2507.3
195112,3427.8
195312,2940
195412,2050.8
195512,1240.5
195612,1351.6
195812,1673.7
195912,1641.3
196012,1415.1
196112,2774.4
196312,1886
196412,1948.6
196512,2422.3
196612,2134.4
196712,1915.9
196812,1425.2
196912,2263.3
197012,2614.6
197112,2525.3
197212,2223.7
197312,1451.5
197412,1440.7
197512,1741.7
197612,1630
197712,2064.7
197812,1906.6
197912,1757.9
198012,2082.6
198112,1723
198212,1972.1
198312,1399.3
198412,1794.3
198512,1729
198612,1986.1
198712,1639.4
198812,1176.4
198912,1395.1
199012,1764.2
199112,1733
199212,1825.7
199312,2361.2
199412,1686.3
199512,1746.3
199612,1257.8
199712,2255.9
199812,1033.1
199912,1513.7
200012,2063.3
200112,1874.9
200212,2219.2
200312,1796.8
200412,1834.7
200512,2011.8
200612,2078
200712,1281.3
200812,1995.1
200912,1950.1
201012,1491.8
201112,1618.9
201212,1741.8
201312,1493.7
201412,1801.7
201512,1924.6
201612,1271.8
201712,1705.9
201812,1569.6
201912,1071.3
202012,1400.9
202112,949
202212,1367.8
202312,1468.6
